Category,Manufacturer,Model,Selection.Model,Usage.hours,Year,Age.at.the.sale,Year.of.Sale,Location.code.ISO,Price,Currency,Origine.Data,URL,Id,annonce_id,clean_model,scrap_id
Telescopic Handlers,Manitou,10055,,843,2013,3,2016,US,100000,USD,http://www.mascus.com,http://www.mascus.com/construction/used-telescopic-handlers/manitou-10055/7f5uci9u.html,http://www.mascus.com/construction/used-telescopic-handlers/manitou-10055/7f5uci9u.html,77749,10055,2067
Telescopic Handlers,Manitou,10055,,738,2013,3,2016,US,99500,USD,http://www.mascus.com,http://www.mascus.com/construction/used-telescopic-handlers/manitou-10055/epdpen3n.html,http://www.mascus.com/construction/used-telescopic-handlers/manitou-10055/epdpen3n.html,78170,10055,2067
Telescopic Handlers,Manitou,10055,,843,2013,4,2017,US,94500,USD,http://www.mascus.com,http://www.mascus.com/construction/used-telescopic-handlers/manitou-10055/el3l4ois.html,http://www.mascus.com/construction/used-telescopic-handlers/manitou-10055/el3l4ois.html,78617,10055,2067
Telescopic Handlers,Manitou,10055,,933,2013,4,2017,US,94500,USD,http://www.mascus.com,http://www.mascus.com/construction/used-telescopic-handlers/manitou-10055/5f4r6ifq.html,http://www.mascus.com/construction/used-telescopic-handlers/manitou-10055/5f4r6ifq.html,78635,10055,2067
Telescopic Handlers,Manitou,10055,,1489,2013,4,2017,US,97000,USD,http://www.mascus.com,http://www.mascus.com/construction/used-telescopic-handlers/manitou-10055/clhrgs7r.html,http://www.mascus.com/construction/used-telescopic-handlers/manitou-10055/clhrgs7r.html,78643,10055,2067
Telescopic Handlers,Manitou,100ELX,,,2001,15,2016,DK,6089,USD,http://www.mascus.com,http://www.mascus.com/construction/used-telescopic-handlers/manitou-100elx/9mcuih3j.html,http://www.mascus.com/construction/used-telescopic-handlers/manitou-100elx/9mcuih3j.html,77262,100ELX,2056
Telescopic Handlers,Manitou,100ELX _1,,,2001,15,2016,DK,6089,USD,http://www.mascus.com,http://www.mascus.com/construction/used-telescopic-handlers/manitou-100elx-1/4mckem9t.html,http://www.mascus.com/construction/used-telescopic-handlers/manitou-100elx-1/4mckem9t.html,77174,100ELX _1,2045
nacelle-automotrice,Manitou,100VJR,100VJR,148,2011,4,2015,FR,7785,EUR,http://www.agriaffaires.com,http://www.agriaffaires.com/occasion/nacelle-automotrice/5921693/manitou-100vjr.html,http://www.agriaffaires.com/occasion/nacelle-automotrice/5921693/manitou-100vjr.html,82167,100VJR,2372
nacelle-automotrice,Manitou,100VJR,,702,2010,6,2016,DK,120000,DKK,http://www.agriaffaires.com,http://www.agriaffaires.com/occasion/nacelle-automotrice/6254727/manitou-100vjr.html,http://www.agriaffaires.com/occasion/nacelle-automotrice/6254727/manitou-100vjr.html,82838,100VJR,2372
nacelle-automotrice,Manitou,100VJR,,428,2010,6,2016,DK,125000,DKK,http://www.agriaffaires.com,http://www.agriaffaires.com/occasion/nacelle-automotrice/6254729/manitou-100vjr.html,http://www.agriaffaires.com/occasion/nacelle-automotrice/6254729/manitou-100vjr.html,82983,100VJR,2372
nacelle-automotrice,Manitou,100VJR,,148,2011,5,2016,ES,13500,EUR,http://www.agriaffaires.com,http://www.agriaffaires.com/occasion/nacelle-automotrice/7040421/manitou-100vjr.html,http://www.agriaffaires.com/occasion/nacelle-automotrice/7040421/manitou-100vjr.html,83547,100VJR,2372
Self-Propelled Aerial Platforms,Manitou,"100VJR, vertical lift, 10m, electric, like",100VJR,33,2013,2,2015,FR,16351,USD,http://www.mascus.com,http://www.mascus.com/construction/used-self-propelled-aerial-platform/manitou-100vjr-vertical-lift-10m-electric-like/7h7u6hff.html,http://www.mascus.com/construction/used-self-propelled-aerial-platform/manitou-100vjr-vertical-lift-10m-electric-like/7h7u6hff.html,71708,100VJR  lift 10m  like,1631
nacelle-automotrice,Manitou,100XEL,,300,2010,6,2016,GB,9500,GBP,http://www.agriaffaires.com,http://www.agriaffaires.com/occasion/nacelle-automotrice/10585502/jlg-600aj.html,http://www.agriaffaires.com/occasion/nacelle-automotrice/10585502/jlg-600aj.html,94338,100XEL,2787
Chargeuse / Télescopique / Pelle,Manitou,1030,MT 1030,6517,2003,13,2016,FR,17400,EUR,http://www.traktorpool.de,http://www.traktorpool.de/fr/details/Teleskoplader/Manitou-1030/3067396/,http://www.traktorpool.de/fr/details/Teleskoplader/Manitou-1030/3067396/,66533,1030,1301
Chargeuse / Télescopique / Pelle,Manitou,1030,MT 1030,6517,2003,13,2016,FR,17400,EUR,http://www.traktorpool.de,http://www.traktorpool.de/fr/details/Teleskoplader/Manitou-1030/3068811/,http://www.traktorpool.de/fr/details/Teleskoplader/Manitou-1030/3068811/,66541,1030,1301
telescopique,Manitou,1030,MT 1030,,2005,11,2016,PL,72000,PLN,http://www.agriaffaires.com,http://www.agriaffaires.com/occasion/telescopique/4229419/manitou-1030.html,http://www.agriaffaires.com/occasion/telescopique/4229419/manitou-1030.html,66624,1030,1301
Chargeuse / Télescopique / Pelle,Manitou,1030 S,MT 1030,3121,2006,9,2015,DE,31535,EUR,http://www.traktorpool.de,http://www.traktorpool.de/fr/details/Teleskoplader/Manitou-1030-S-EZ-2006!!-10-METER!!!/2620231/,http://www.traktorpool.de/fr/details/Teleskoplader/Manitou-1030-S-EZ-2006!!-10-METER!!!/2620231/,1129,1030 S,87
Chargeuse / Télescopique / Pelle,Manitou,1030 S,MT 1030,2650,2006,9,2015,DM,26800,EUR,http://www.traktorpool.de,http://www.traktorpool.de/fr/details/Teleskoplader/Manitou-1030-S/1958434/,http://www.traktorpool.de/fr/details/Teleskoplader/Manitou-1030-S/1958434/,66540,1030 S,87
Telehandlers for Agriculture,Manitou,1030 S,MT 1030,500,2009,6,2015,FR,35526,USD,http://www.mascus.com,http://www.mascus.com/agriculture/used-telehandlers-for-agriculture/manitou-1030-s/bu4pdtdl.html,http://www.mascus.com/agriculture/used-telehandlers-for-agriculture/manitou-1030-s/bu4pdtdl.html,66569,1030 S,87
telescopique,Manitou,1030 S,MT 1030,3800,2004,12,2016,FR,22500,EUR,http://www.agriaffaires.com,http://www.agriaffaires.com/occasion/telescopique/10996476/manitou-1030-s.html,http://www.agriaffaires.com/occasion/telescopique/10996476/manitou-1030-s.html,66580,1030 S,87
telescopique,Manitou,1030 S,MT 1030,3121,2006,10,2016,DE,26500,EUR,http://www.agriaffaires.com,http://www.agriaffaires.com/occasion/telescopique/6472522/manitou-1030-s-year-2006-10-meter.html,http://www.agriaffaires.com/occasion/telescopique/6472522/manitou-1030-s-year-2006-10-meter.html,66643,1030 S,87
chariot-telescopique,Manitou,1030 S,MT 1030,2050,2006,10,2016,FR,24800,EUR,http://www.agriaffaires.com,http://www.agriaffaires.com/occasion/chariot-telescopique/3820935/manitou-1030-s.html,http://www.agriaffaires.com/occasion/chariot-telescopique/3820935/manitou-1030-s.html,80011,1030 S,87
Telescopic Handlers,Manitou,1030 S      EZ 2006!!   10 METER!!,MT 1030,3112,2006,9,2015,FR,19073,USD,http://www.mascus.com,http://www.mascus.com/construction/used-telescopic-handlers/manitou-1030-s-ez-2006-10-meter/fpbpgk8u.html,http://www.mascus.com/construction/used-telescopic-handlers/manitou-1030-s-ez-2006-10-meter/fpbpgk8u.html,66571,1030 S      EZ 2006   10 METER,1308
Telescopic Handlers,Manitou,1030 S      YEAR 2009!!  10 METER!!!,MT 1030,2386,2009,6,2015,FR,25978,USD,http://www.mascus.com,http://www.mascus.com/construction/used-telescopic-handlers/manitou-1030-s-year-2009-10-meter/fs4ncqgn.html,http://www.mascus.com/construction/used-telescopic-handlers/manitou-1030-s-year-2009-10-meter/fs4ncqgn.html,66573,1030 S      YEAR 2009  10 METER,1310
Telescopic Handlers,Manitou,1030 S     YEAR 2006!!  10 METER!!!,MT 1030,3121,2006,9,2015,FR,20065,USD,http://www.mascus.com,http://www.mascus.com/construction/used-telescopic-handlers/manitou-1030-s-year-2006-10-meter/br3iho9n.html,http://www.mascus.com/construction/used-telescopic-handlers/manitou-1030-s-year-2006-10-meter/br3iho9n.html,74078,1030 S     YEAR 2006  10 METER,1658
chariot-telescopique,Manitou,1030 S    10 METER!!,MT 1030,3112,2006,9,2015,FR,16389,EUR,http://www.agriaffaires.com,http://www.agriaffaires.com/occasion/chariot-telescopique/5768816/manitou-1030-s-10-meter.html,http://www.agriaffaires.com/occasion/chariot-telescopique/5768816/manitou-1030-s-10-meter.html,66598,1030 S    10 METER,1315
