Category,Manufacturer,Model,Selection.Model,Usage.hours,Year,Age.at.the.sale,Year.of.Sale,Location.code.ISO,Price,Currency,Origine.Data,URL,Id,annonce_id,clean_model,scrap_id
,Manitou,MI 18 D,,320,2016,1,2017,AM,20500,EUR,http://www.traktorpool.de,http://www.traktorpool.de/fr/details/Gabelstapler/Manitou-MI-18-D/3217028/,http://www.traktorpool.de/fr/details/Gabelstapler/Manitou-MI-18-D/3217028/,66229,MI 18 D,978
,Manitou,MI 18 D,,22,2017,0,2017,DE,17250,EUR,https://www.supralift.com,https://www.supralift.com/fr/chariots-elevateurs-d-occasion/manitou-mi-18-d-chariot-%c3%a9l%c3%a9vateur-4-roues/11681158.html,https://www.supralift.com/fr/chariots-elevateurs-d-occasion/manitou-mi-18-d-chariot-%c3%a9l%c3%a9vateur-4-roues/11681158.html,99214,MI 18 D,978
,Manitou,MI 18 D,,320,2016,1,2017,BH,20500,EUR,http://www.traktorpool.de,https://www.traktorpool.de/fr/details/Gabelstapler/Manitou-MI-18-D/3592167/,https://www.traktorpool.de/fr/details/Gabelstapler/Manitou-MI-18-D/3592167/,101044,MI 18 D,978
,Manitou,MI 18 D,,320,2016,1,2017,BH,20500,EUR,https://www.traktorpool.de,https://www.traktorpool.de/fr/details/Gabelstapler/Manitou-MI-18-D/3653645/,https://www.traktorpool.de/fr/details/Gabelstapler/Manitou-MI-18-D/3653645/,104860,MI 18 D,978
masted-forklift-truck,Manitou,MI 18G,,16,2013,3,2016,,13600,EUR,used,http://used.manitou.com/en/machines/manitou-mi-18g-42093450-e0e9-43b1-be35-173c95d87b81,http://used.manitou.com/en/machines/manitou-mi-18g-42093450-e0e9-43b1-be35-173c95d87b81,3718,MI 18G,331
Chariot frontal à 4 roues,Manitou,MI 25 D,,6,2001,15,2016,DE,17995,EUR,http://www.supralift.com,https://www.supralift.com/fr/chariots-elevateurs-d-occasion/manitou-mi-25-d-chariot-%c3%a9l%c3%a9vateur-4-roues/11434834.html,https://www.supralift.com/fr/chariots-elevateurs-d-occasion/manitou-mi-25-d-chariot-%c3%a9l%c3%a9vateur-4-roues/11434834.html,7507,MI 25 D,364
Chariot frontal à 4 roues,Manitou,MI 25 D,,8,2012,4,2016,DE,19250,EUR,http://www.supralift.com,https://www.supralift.com/fr/chariots-elevateurs-d-occasion/manitou-mi-25-d-chariot-%c3%a9l%c3%a9vateur-4-roues/11419485.html,https://www.supralift.com/fr/chariots-elevateurs-d-occasion/manitou-mi-25-d-chariot-%c3%a9l%c3%a9vateur-4-roues/11419485.html,7633,MI 25 D,364
,Manitou,MI 25 D,,18,2017,0,2017,BH,23622,EUR,http://www.traktorpool.de,https://www.traktorpool.de/fr/details/Gabelstapler/Manitou-MI-25-D/3591643/,https://www.traktorpool.de/fr/details/Gabelstapler/Manitou-MI-25-D/3591643/,101043,MI 25 D,364
chariot-gaz,Manitou,MI 25 G,MI25,150,2014,1,2015,FR,12105,EUR,http://www.agriaffaires.com,http://www.agriaffaires.com/occasion/chariot-gaz/5848239/manitou-mi-25-g.html,http://www.agriaffaires.com/occasion/chariot-gaz/5848239/manitou-mi-25-g.html,79995,MI 25 G,2136
Diesel Forklifts,Manitou,MI 30,,4,2015,0,2015,FR,19016,USD,http://www.mascus.com,http://www.mascus.com/material-handling/used-diesel-trucks/manitou-mi-30/drehglij.html,http://www.mascus.com/material-handling/used-diesel-trucks/manitou-mi-30/drehglij.html,76833,MI 30,2015
Chargeuse / Télescopique / Pelle,Manitou,MI 30 D,,232,2014,1,2015,DE,29749,EUR,http://www.traktorpool.de,http://www.traktorpool.de/fr/details/Gabelstapler/Manitou-MI-30-D/2469502/,http://www.traktorpool.de/fr/details/Gabelstapler/Manitou-MI-30-D/2469502/,555,MI 30 D,20
Diesel Forklifts,Manitou,MI 30 D,,75,2014,1,2015,FR,22241,USD,http://www.mascus.com,http://www.mascus.com/material-handling/used-diesel-trucks/manitou-mi-30-d/iueieidp.html,http://www.mascus.com/material-handling/used-diesel-trucks/manitou-mi-30-d/iueieidp.html,76420,MI 30 D,20
Misc Forklift Trucks,Manitou,MI 30 D,,500,2014,1,2015,FR,18609,USD,http://www.mascus.com,http://www.mascus.com/material-handling/used-forklift-trucks---others/manitou-mi-30-d/ei3ifp6g.html,http://www.mascus.com/material-handling/used-forklift-trucks---others/manitou-mi-30-d/ei3ifp6g.html,76425,MI 30 D,20
Diesel Forklifts,Manitou,MI 30 D,MI30,0,2012,3,2015,FR,21382,USD,http://www.mascus.com,http://www.mascus.com/material-handling/used-diesel-trucks/manitou-mi-30-d/ip7h7qdf.html,http://www.mascus.com/material-handling/used-diesel-trucks/manitou-mi-30-d/ip7h7qdf.html,76983,MI 30 D,20
chariot-diesel,Manitou,MI 30 D,MI30,74,2014,1,2015,FR,19799,EUR,http://www.agriaffaires.com,http://www.agriaffaires.com/occasion/chariot-diesel/5806383/manitou-mi-30-d.html,http://www.agriaffaires.com/occasion/chariot-diesel/5806383/manitou-mi-30-d.html,80018,MI 30 D,20
Diesel Forklifts,Manitou,MI 30 D 3F470 Demo-2014,,100,2014,1,2015,FR,21789,USD,http://www.mascus.com,http://www.mascus.com/material-handling/used-diesel-trucks/manitou-mi-30-d-3f470-demo-2014/3o6jil7g.html,http://www.mascus.com/material-handling/used-diesel-trucks/manitou-mi-30-d-3f470-demo-2014/3o6jil7g.html,76418,MI 30 D 3F470 Demo-2014,1977
,Manitou,MI 30D,,20,2001,16,2017,DE,23600,EUR,https://www.supralift.com,https://www.supralift.com/fr/chariots-elevateurs-d-occasion/manitou-mi-30d-chariot-%c3%a9l%c3%a9vateur-4-roues/11672234.html,https://www.supralift.com/fr/chariots-elevateurs-d-occasion/manitou-mi-30d-chariot-%c3%a9l%c3%a9vateur-4-roues/11672234.html,102497,MI 30D,3228
,Manitou,MI 30D,,18,2017,0,2017,BH,28084,EUR,https://www.traktorpool.de,https://www.traktorpool.de/fr/details/Gabelstapler/Manitou-MI-30D/3669811/,https://www.traktorpool.de/fr/details/Gabelstapler/Manitou-MI-30D/3669811/,104827,MI 30D,3228
Diesel Forklifts,Manitou,MI 35 D,MI35,0,2012,3,2015,FR,22365,USD,http://www.mascus.com,http://www.mascus.com/material-handling/used-diesel-trucks/manitou-mi-35-d/dfhpckbj.html,http://www.mascus.com/material-handling/used-diesel-trucks/manitou-mi-35-d/dfhpckbj.html,77324,MI 35 D,2062
,Manitou,MI 35G,,,2016,1,2017,NE,19900,EUR,https://www.supralift.com,https://www.supralift.com/fr/chariots-elevateurs-d-occasion/manitou-mi-35g-unused-chariot-%c3%a9l%c3%a9vateur-4-roues/11652599.html,https://www.supralift.com/fr/chariots-elevateurs-d-occasion/manitou-mi-35g-unused-chariot-%c3%a9l%c3%a9vateur-4-roues/11652599.html,68156,MI 35G,1539
,Manitou,MI 35G UNUSED,,,2016,1,2017,NE,21400,EUR,https://www.supralift.com,https://www.supralift.com/fr/chariots-elevateurs-d-occasion/manitou-mi-35g-unused-chariot-%c3%a9l%c3%a9vateur-4-roues/11652600.html,https://www.supralift.com/fr/chariots-elevateurs-d-occasion/manitou-mi-35g-unused-chariot-%c3%a9l%c3%a9vateur-4-roues/11652600.html,99548,MI 35G UNUSED,3181
0,Manitou,MI 60,MI60,,2006,9,2015,PL,9180,EUR,http://www.supralift.com,http://www.supralift.com/us/used-forklifts/diesel/rough-terrain-truck/manitou/mi-60/554162385a06dcaa9c9c63e7/2?&&sortCrit=ePriceDef&sortMod=asc&pageSize=500&pageNumber=0&&returnPath=itemsearch/results&langPath=us&navigationDir=FORWARD,http://www.supralift.com/us/used-forklifts/diesel/rough-terrain-truck/manitou/mi-60/554162385a06dcaa9c9c63e7/2,29706,MI 60,633
chariot-tout-terrain-occasion,Manitou,MI 60,,5580,2006,10,2016,PL,18000,EUR,http://www.agriaffaires.com,http://www.agriaffaires.com/occasion/chariot-tout-terrain-occasion/4939739/manitou-mi-60.html,http://www.agriaffaires.com/occasion/chariot-tout-terrain-occasion/4939739/manitou-mi-60.html,80677,MI 60,633
Chariot frontal à 4 roues,Manitou,MI15G,,,2016,1,2017,NE,13977,EUR,http://www.supralift.com,https://www.supralift.com/fr/chariots-elevateurs-d-occasion/manitou-mi15g-chariot-%c3%a9l%c3%a9vateur-4-roues/11554092.html,https://www.supralift.com/fr/chariots-elevateurs-d-occasion/manitou-mi15g-chariot-%c3%a9l%c3%a9vateur-4-roues/11554092.html,43620,MI15G,741
Chariot frontal à 4 roues,Manitou,MI18D,,3992,2014,3,2017,FR,12800,EUR,http://www.supralift.com,https://www.supralift.com/fr/chariots-elevateurs-d-occasion/manitou-mi18d-chariot-%c3%a9l%c3%a9vateur-4-roues/11559691.html,https://www.supralift.com/fr/chariots-elevateurs-d-occasion/manitou-mi18d-chariot-%c3%a9l%c3%a9vateur-4-roues/11559691.html,43519,MI18D,733
Chariot diesel,Manitou,MI18D,,3992,2014,3,2017,FR,12800,EUR,http://www.forklift-international.com,http://www.forklift-international.com/fr/e/cgi/Chariot-%C3%A9l%C3%A9vateur-d%27occasion-Manitou-MI18D-3123194s,http://www.forklift-international.com/fr/e/cgi/Chariot-%C3%A9l%C3%A9vateur-d%27occasion-Manitou-MI18D-3123194s,98176,MI18D,733
Chariot frontal à 4 roues,Manitou,MI255,,,1990,25,2015,FR,5500,EUR,http://www.supralift.com,http://www.supralift.com/fr/chariots-elevateurs-d-occasion/manitou-mi255-chariot-%c3%a9l%c3%a9vateur-4-roues/11021592.html,http://www.supralift.com/fr/chariots-elevateurs-d-occasion/manitou-mi255-chariot-%c3%a9l%c3%a9vateur-4-roues/11021592.html,17581,MI255,502
all-terrain-masted-forklift,Manitou,MI25D,,500,2016,0,2016,AU,19500,GBP,http://www.machineryzone.com,http://www.machineryzone.com/used/all-terrain-masted-forklift/12300426/manitou-mi25d-s2e3.html,http://www.machineryzone.com/used/all-terrain-masted-forklift/12300426/manitou-mi25d-s2e3.html,27426,MI25D,564
electric-forklift,Manitou,MI25D,,434,2016,0,2016,AU,15500,GBP,http://www.machineryzone.com,http://www.machineryzone.com/used/electric-forklift/13515971/manitou-mi25d-s2e3.html,http://www.machineryzone.com/used/electric-forklift/13515971/manitou-mi25d-s2e3.html,58826,MI25D,564
,Manitou,MI25D HEFTRUCK,,525,2015,2,2017,AS,16759,EUR,http://www.traktorpool.de,http://www.traktorpool.de/fr/details/Gabelstapler/Manitou-MI25D-HEFTRUCK/3390295/,http://www.traktorpool.de/fr/details/Gabelstapler/Manitou-MI25D-HEFTRUCK/3390295/,66208,MI25D,564
Misc Forklift Trucks,Manitou,MI25D,MI25,0,2014,1,2015,FR,22295,USD,http://www.mascus.com,http://www.mascus.com/material-handling/used-forklift-trucks---others/manitou-mi25d/ckekhf7p.html,http://www.mascus.com/material-handling/used-forklift-trucks---others/manitou-mi25d/ckekhf7p.html,76430,MI25D,564
Misc Forklift Trucks,Manitou,MI25D,MI25,0,2014,1,2015,FR,22295,USD,http://www.mascus.com,http://www.mascus.com/material-handling/used-forklift-trucks---others/manitou-mi25d/fmfr5s9m.html,http://www.mascus.com/material-handling/used-forklift-trucks---others/manitou-mi25d/fmfr5s9m.html,76557,MI25D,564
chariot-tout-terrain-occasion,Manitou,MI25D,,500,2016,0,2016,AU,19500,GBP,http://www.agriaffaires.com,http://www.agriaffaires.com/occasion/chariot-tout-terrain-occasion/12300426/manitou-mi25d-s2e3.html,http://www.agriaffaires.com/occasion/chariot-tout-terrain-occasion/12300426/manitou-mi25d-s2e3.html,95452,MI25D,564
Chargeuse / Télescopique / Pelle,Manitou,MI25D S2E3,,500,2016,0,2016,GB,26869,EUR,http://www.traktorpool.de,http://www.traktorpool.de/fr/details/Teleskoplader/Manitou-MI25D-S2E3/3090298/,http://www.traktorpool.de/fr/details/Teleskoplader/Manitou-MI25D-S2E3/3090298/,1959,MI25D S2E3,243
electric-forklift,Manitou,MI25D S2E3,,434,2016,1,2017,AU,15500,GBP,http://www.machineryzone.com,http://www.machineryzone.com/used/electric-forklift/14100536/manitou-mi25d-s2e3.html,http://www.machineryzone.com/used/electric-forklift/14100536/manitou-mi25d-s2e3.html,59028,MI25D S2E3,243
electric-forklift,Manitou,MI25D S2E3,,434,2016,1,2017,AU,15500,GBP,http://www.machineryzone.com,http://www.machineryzone.com/used/electric-forklift/14690496/manitou-mi25d-s2e3.html,http://www.machineryzone.com/used/electric-forklift/14690496/manitou-mi25d-s2e3.html,59178,MI25D S2E3,243
electric-forklift,Manitou,MI25D S2E3,,434,2016,1,2017,AU,15500,GBP,http://www.machineryzone.com,http://www.machineryzone.com/used/electric-forklift/15962845/manitou-mi25d-s2e3.html,http://www.machineryzone.com/used/electric-forklift/15962845/manitou-mi25d-s2e3.html,59433,MI25D S2E3,243
,Manitou,MI25D S2E3,,434,2016,1,2017,AU,15500,GBP,http://www.machineryzone.com,http://www.machineryzone.com/used/electric-forklift/16915436/manitou-mi25d-s2e3.html,http://www.machineryzone.com/used/electric-forklift/16915436/manitou-mi25d-s2e3.html,67217,MI25D S2E3,243
,Manitou,MI25D S2E3,,434,2016,1,2017,AU,15500,GBP,http://www.machineryzone.com,http://www.machineryzone.com/used/electric-forklift/18246856/manitou-mi25d-s2e3.html,http://www.machineryzone.com/used/electric-forklift/18246856/manitou-mi25d-s2e3.html,100734,MI25D S2E3,243
,Manitou,MI25D S2E3,,434,2016,1,2017,AU,15500,GBP,http://www.machineryzone.com,http://www.machineryzone.com/used/electric-forklift/18605541/manitou-mi25d-s2e3.html,http://www.machineryzone.com/used/electric-forklift/18605541/manitou-mi25d-s2e3.html,101074,MI25D S2E3,243
,Manitou,MI25D S2E3,,434,2016,1,2017,AU,15500,GBP,http://www.machineryzone.com,http://www.machineryzone.com/used/electric-forklift/18992826/manitou-mi25d-s2e3.html,http://www.machineryzone.com/used/electric-forklift/18992826/manitou-mi25d-s2e3.html,103140,MI25D S2E3,243
Chariot frontal à 4 roues,Manitou,MI35D,,,2016,1,2017,NE,21422,EUR,http://www.supralift.com,https://www.supralift.com/fr/chariots-elevateurs-d-occasion/manitou-mi35d-chariot-%c3%a9l%c3%a9vateur-4-roues/11554097.html,https://www.supralift.com/fr/chariots-elevateurs-d-occasion/manitou-mi35d-chariot-%c3%a9l%c3%a9vateur-4-roues/11554097.html,43590,MI35D,736
Chariot frontal à 4 roues,Manitou,MI45D,,,2016,1,2017,NE,33310,EUR,http://www.supralift.com,https://www.supralift.com/fr/chariots-elevateurs-d-occasion/manitou-mi45d-chariot-%c3%a9l%c3%a9vateur-4-roues/11554265.html,https://www.supralift.com/fr/chariots-elevateurs-d-occasion/manitou-mi45d-chariot-%c3%a9l%c3%a9vateur-4-roues/11554265.html,43597,MI45D,740
all-terrain-masted-forklift,Manitou,MI5,,3034,1989,27,2016,FR,10000,EUR,http://www.machineryzone.com,http://www.machineryzone.com/used/all-terrain-masted-forklift/10829000/manitou-mi50-c.html,http://www.machineryzone.com/used/all-terrain-masted-forklift/10829000/manitou-mi50-c.html,21147,MI5,525
all-terrain-masted-forklift,Manitou,MI50 C,,3034,1989,28,2017,FR,8000,EUR,http://www.machineryzone.com,http://www.machineryzone.com/used/all-terrain-masted-forklift/14452151/manitou-mi50-c.html,http://www.machineryzone.com/used/all-terrain-masted-forklift/14452151/manitou-mi50-c.html,30462,MI50 C,654
chariot-tout-terrain-occasion,Manitou,MI50 C,,3034,1989,27,2016,FR,10000,EUR,http://www.agriaffaires.com,http://www.agriaffaires.com/occasion/chariot-tout-terrain-occasion/10829000/manitou-mi50-c.html,http://www.agriaffaires.com/occasion/chariot-tout-terrain-occasion/10829000/manitou-mi50-c.html,74304,MI50 C,654
chariot-tout-terrain-occasion,Manitou,MI50 C,,3034,1989,28,2017,FR,8000,EUR,http://www.agriaffaires.com,http://www.agriaffaires.com/occasion/chariot-tout-terrain-occasion/14452151/manitou-mi50-c.html,http://www.agriaffaires.com/occasion/chariot-tout-terrain-occasion/14452151/manitou-mi50-c.html,95985,MI50 C,654
Rough Terrain Trucks,Manitou,MI60,MI60,5581,2006,9,2015,FR,10939,USD,http://www.mascus.com,http://www.mascus.com/material-handling/used-rough-terrain-truck/manitou-mi60/8l6gal7o.html,http://www.mascus.com/material-handling/used-rough-terrain-truck/manitou-mi60/8l6gal7o.html,76573,MI60,1983
Telescopic Handlers,Manitou,ML 1340 SL turbo,MT1340,0,2005,10,2015,FR,10640,USD,http://www.mascus.com,http://www.mascus.com/construction/used-telescopic-handlers/manitou-ml-1340-sl-turbo/3offanfk.html,http://www.mascus.com/construction/used-telescopic-handlers/manitou-ml-1340-sl-turbo/3offanfk.html,74553,ML 1340 SL turbo,1746
Mini Wheel Loader,Manitou,ML 40,,2301,2008,7,2015,FR,8207,USD,http://www.mascus.com,http://www.mascus.com/construction/used-mini-wheel-loader/manitou-ml-40/bo3mdt3h.html,http://www.mascus.com/construction/used-mini-wheel-loader/manitou-ml-40/bo3mdt3h.html,68814,ML 40,1586
Wheel Loaders,Manitou,ML 40,,1439,2008,7,2015,FR,10014,USD,http://www.mascus.com,http://www.mascus.com/construction/used-wheel-loaders/manitou-ml-40/6gfkdnhm.html,http://www.mascus.com/construction/used-wheel-loaders/manitou-ml-40/6gfkdnhm.html,76588,ML 40,1586
chargeuse-pneus,Manitou,ML 40,,2350,2008,7,2015,FR,6840,EUR,http://www.agriaffaires.com,http://www.agriaffaires.com/occasion/chargeuse-pneus/5684174/manitou-ml-40.html,http://www.agriaffaires.com/occasion/chargeuse-pneus/5684174/manitou-ml-40.html,79914,ML 40,1586
chariot-telescopique,Manitou,ML 4013 LS,,,2005,10,2015,FR,17545,EUR,http://www.machineryzone.fr,http://www.machineryzone.fr/occasion/chariot-telescopique/5802452/manitou-ml-4013-ls.html,http://www.machineryzone.fr/occasion/chariot-telescopique/5802452/manitou-ml-4013-ls.html,79770,ML 4013 LS,2119
telescopique,Manitou,ML 634 TLSU 120 PREMIUM,MLT 634,,2011,4,2015,FR,33000,EUR,http://www.agriaffaires.com,http://www.agriaffaires.com/occasion/telescopique/7162760/manitou-ml-634-tlsu-120-premium.html,http://www.agriaffaires.com/occasion/telescopique/7162760/manitou-ml-634-tlsu-120-premium.html,67134,ML 634 TLSU 120 PREMIUM,1471
,Manitou,ML 840-137 ELITE,,1930,2014,4,2018,DE,66690,EUR,https://www.traktorpool.de,https://www.traktorpool.de/fr/details/Teleskoplader/Manitou-ML-840-137-ELITE/3802733/,https://www.traktorpool.de/fr/details/Teleskoplader/Manitou-ML-840-137-ELITE/3802733/,62706,ML 840-137 ELITE,1132
Chargeuse / Télescopique / Pelle,Manitou,ML T840 Elite,,950,2013,3,2016,AS,69615,EUR,http://www.traktorpool.de,http://www.traktorpool.de/fr/details/Teleskoplader/Manitou-ML-T840-Elite/3113816/,http://www.traktorpool.de/fr/details/Teleskoplader/Manitou-ML-T840-Elite/3113816/,2191,ML T840 Elite,260
Wheel Loaders,Manitou,ML40,,1338,2008,7,2015,FR,6645,USD,http://www.mascus.com,http://www.mascus.com/construction/used-wheel-loaders/manitou-ml40/eggo5mfi.html,http://www.mascus.com/construction/used-wheel-loaders/manitou-ml40/eggo5mfi.html,77089,ML40,2034
chargeuse-pneus,Manitou,ML40,,989,2010,5,2015,FR,7335,EUR,http://www.agriaffaires.com,http://www.agriaffaires.com/occasion/chargeuse-pneus/5696920/manitou-ml40.html,http://www.agriaffaires.com/occasion/chargeuse-pneus/5696920/manitou-ml40.html,79916,ML40,2034
valet-de-ferme,Manitou,ML40,,1350,2008,7,2015,FR,7245,EUR,http://www.agriaffaires.com,http://www.agriaffaires.com/occasion/valet-de-ferme/5871188/manitou-ml40.html,http://www.agriaffaires.com/occasion/valet-de-ferme/5871188/manitou-ml40.html,91046,ML40,2034
Wheel Loaders,Manitou,MLA 120 T LSU,,4851,2006,9,2015,FR,19561,USD,http://www.mascus.com,http://www.mascus.com/construction/used-wheel-loaders/manitou-mla-120-t-lsu/3hbihtbg.html,http://www.mascus.com/construction/used-wheel-loaders/manitou-mla-120-t-lsu/3hbihtbg.html,76359,MLA 120 T LSU,1970
Telehandlers for Agriculture,Manitou,MLA 627,MLA627,0,2005,10,2015,FR,21831,USD,http://www.mascus.com,http://www.mascus.com/agriculture/used-telehandlers-for-agriculture/manitou-mla-627/7ldrbn3o.html,http://www.mascus.com/agriculture/used-telehandlers-for-agriculture/manitou-mla-627/7ldrbn3o.html,68650,MLA 627,1551
chariot-telescopique,Manitou,MLA 627,MLT627-629,,2005,10,2015,FR,30000,EUR,http://www.machineryzone.fr,http://www.machineryzone.fr/occasion/chariot-telescopique/5815371/manitou-mla-627.html,http://www.machineryzone.fr/occasion/chariot-telescopique/5815371/manitou-mla-627.html,79531,MLA 627,1551
,Manitou,MLA 628 Telehandler,,,2005,13,2018,AD,24458,EUR,https://www.traktorpool.de,https://www.traktorpool.de/fr/details/Teleskoplader/Manitou-MLA-628-Telehandler/3800706/,https://www.traktorpool.de/fr/details/Teleskoplader/Manitou-MLA-628-Telehandler/3800706/,30713,MLA 628,662
telescopic-forklift,Manitou,MLA 628,,,2004,11,2015,PL,81000,PLN,http://www.machineryzone.com,http://www.machineryzone.com/used/telescopic-forklift/5479398/manitou-mla-628.html,http://www.machineryzone.com/used/telescopic-forklift/5479398/manitou-mla-628.html,61731,MLA 628,662
Multi purpose loaders,Manitou,MLA 628,,0,2004,11,2015,FR,12398,USD,http://www.mascus.com,http://www.mascus.com/agriculture/used-multi-purpose-loaders/manitou-mla-628/inbi7r6n.html,http://www.mascus.com/agriculture/used-multi-purpose-loaders/manitou-mla-628/inbi7r6n.html,68587,MLA 628,662
Tractors,Manitou,MLA 628,MLA628,0,2003,12,2015,FR,12115,USD,http://www.mascus.com,http://www.mascus.com/agriculture/used-tractors/manitou-mla-628/9f3sak4l.html,http://www.mascus.com/agriculture/used-tractors/manitou-mla-628/9f3sak4l.html,68903,MLA 628,662
chariot-telescopique,Manitou,MLA 628,,,2004,11,2015,PL,81000,PLN,http://www.machineryzone.com,http://www.machineryzone.fr/occasion/chariot-telescopique/5479398/manitou-mla-628.html,http://www.machineryzone.fr/occasion/chariot-telescopique/5479398/manitou-mla-628.html,79668,MLA 628,662
chargeuse-pneus,Manitou,MLA 628,,6644,2000,15,2015,FR,8500,EUR,http://www.agriaffaires.com,http://www.agriaffaires.com/occasion/chargeuse-pneus/5877336/manitou-mla-628.html,http://www.agriaffaires.com/occasion/chargeuse-pneus/5877336/manitou-mla-628.html,80260,MLA 628,662
,Manitou,MLA 628 - 120 LSU PS  KLIMA,,2265,2007,10,2017,AM,39032,EUR,http://www.traktorpool.de,http://www.traktorpool.de/fr/details/Teleskoplader/Manitou-Teleskopradlader-MANITOU-MLA-628-120-LSU-PS-KLIMA-/3540737/,http://www.traktorpool.de/fr/details/Teleskoplader/Manitou-Teleskopradlader-MANITOU-MLA-628-120-LSU-PS-KLIMA-/3540737/,68575,MLA 628 - 120 LSU PS  KLIMA,1541
telescopique,Manitou,MLA 628 - 120LSU,,20,2006,10,2016,GB,14500,GBP,http://www.agriaffaires.com,http://www.agriaffaires.com/occasion/telescopique/11486894/manitou-mla-628-120lsu.html,http://www.agriaffaires.com/occasion/telescopique/11486894/manitou-mla-628-120lsu.html,93020,MLA 628 - 120LSU,2741
Telehandlers for Agriculture,Manitou,MLA 628 120 LSU,MLA628,7501,2008,7,2015,FR,17154,USD,http://www.mascus.com,http://www.mascus.com/agriculture/used-telehandlers-for-agriculture/manitou-mla-628-120-lsu/8mem4n5k.html,http://www.mascus.com/agriculture/used-telehandlers-for-agriculture/manitou-mla-628-120-lsu/8mem4n5k.html,68786,MLA 628 120 LSU,1582
Wheel Loaders,Manitou,"MLA 628 120 LSU, ładowarka teleskopowa",,0,2008,7,2015,FR,27259,USD,http://www.mascus.com,http://www.mascus.com/construction/used-wheel-loaders/manitou-mla-628-120-lsu-ladowarka-teleskopowa/8tho6saq.html,http://www.mascus.com/construction/used-wheel-loaders/manitou-mla-628-120-lsu-ladowarka-teleskopowa/8tho6saq.html,77091,MLA 628 120 LSU,1582
Telehandlers for Agriculture,Manitou," MLA 628 120 LSU, ładowacz teleskopowy",,0,2008,7,2015,FR,27581,USD,http://www.mascus.com,http://www.mascus.com/agriculture/used-telehandlers-for-agriculture/manitou-mla-628-120-lsu-ladowacz-teleskopowy/dsdj6kgq.html,http://www.mascus.com/agriculture/used-telehandlers-for-agriculture/manitou-mla-628-120-lsu-ladowacz-teleskopowy/dsdj6kgq.html,68788,MLA 628 120 LSU adowacz,1583
Wheel Loaders,Manitou,MLA 628 120 T,,0,2004,11,2015,FR,12220,USD,http://www.mascus.com,http://www.mascus.com/construction/used-wheel-loaders/manitou-mla-628-120-t/4oarendm.html,http://www.mascus.com/construction/used-wheel-loaders/manitou-mla-628-120-t/4oarendm.html,76360,MLA 628 120 T,1971
chariot-telescopique,Manitou,MLA 628 120 T LSU PS,,2300,2009,6,2015,FR,40000,EUR,http://www.machineryzone.fr,http://www.machineryzone.fr/occasion/chariot-telescopique/5524883/manitou-mla-628-120-t-lsu-ps.html,http://www.machineryzone.fr/occasion/chariot-telescopique/5524883/manitou-mla-628-120-t-lsu-ps.html,79515,MLA 628 120 T LSU PS,2097
chariot-telescopique,Manitou,MLA 628 T120 LSUPS,,2300,2009,6,2015,FR,28350,EUR,http://www.agriaffaires.com,http://www.agriaffaires.com/occasion/chariot-telescopique/5921388/manitou-mla-628-t120-lsups.html,http://www.agriaffaires.com/occasion/chariot-telescopique/5921388/manitou-mla-628-t120-lsups.html,80507,MLA 628 T120 LSUPS,2239
Chargeuse / Télescopique / Pelle,Manitou,MLA 628-120,,,2004,12,2016,PL,19500,EUR,http://www.traktorpool.de,http://www.traktorpool.de/fr/details/Teleskoplader/Manitou-MLA-628-120/2625655/,http://www.traktorpool.de/fr/details/Teleskoplader/Manitou-MLA-628-120/2625655/,1434,MLA 628-120,169
Telescopic Handlers,Manitou,MLA 628-120,MLA628,4000,2007,8,2015,FR,21484,USD,http://www.mascus.com,http://www.mascus.com/construction/used-telescopic-handlers/manitou-mla-628-120/epgn7hdu.html,http://www.mascus.com/construction/used-telescopic-handlers/manitou-mla-628-120/epgn7hdu.html,74753,MLA 628-120,169
Telescopic Handlers,Manitou,MLA 628-120,,4000,2007,8,2015,SE,29607,EUR,http://www.mascus.com,http://www.mascus.com/construction/used-telescopic-handlers/manitou-mla-628-120/epgn7hdu.html?currency=EUR,http://www.mascus.com/construction/used-telescopic-handlers/manitou-mla-628-120/epgn7hdu.html?currency=EUR,74870,MLA 628-120,169
chariot-telescopique,Manitou,MLA 628-120,,6832,2004,12,2016,PL,18900,EUR,http://www.agriaffaires.com,http://www.agriaffaires.com/occasion/chariot-telescopique/5877779/manitou-mla-628-120.html,http://www.agriaffaires.com/occasion/chariot-telescopique/5877779/manitou-mla-628-120.html,80503,MLA 628-120,169
Chargeuse / Télescopique / Pelle,Manitou,MLA 628-120 LSU,,,2008,7,2015,PL,42352,EUR,http://www.traktorpool.de,http://www.traktorpool.de/fr/details/Teleskoplader/Manitou-MLA-628-120-LSU/2031712/,http://www.traktorpool.de/fr/details/Teleskoplader/Manitou-MLA-628-120-LSU/2031712/,1134,MLA 628-120 LSU,92
,Manitou,MLA 628-120 LSU,,,2006,7,2013,DE,21000,EUR,RB,RB--2006-h,0e027ac8-d5ff-4ff1-a128-780bb836ede0,52958,MLA 628-120 LSU,92
Others,Manitou,MLA 628-120 LSU,,5001,2005,10,2015,FR,17292,USD,http://www.mascus.com,http://www.mascus.com/material-handling/used-materialhandling-others/manitou-mla-628-120-lsu/4f7kag7h.html,http://www.mascus.com/material-handling/used-materialhandling-others/manitou-mla-628-120-lsu/4f7kag7h.html,76903,MLA 628-120 LSU,92
